t,close,high,low,n,open,volume,vw,Signal,Portfolio
2022-03-28 04:00:00+00:00,310.7,310.8,304.33,368665,304.33,35993430,309.066156,HOLD,11082.970678461868
2022-03-29 04:00:00+00:00,315.41,315.82,309.05,423168,313.91,34388831,313.628705,HOLD,11250.980951701507
2022-03-30 04:00:00+00:00,313.86,315.95,311.58,340162,313.76,31868602,313.74717,HOLD,11195.690946707571
2022-03-31 04:00:00+00:00,308.31,315.14,307.89,355033,313.9,40851506,310.000549,HOLD,10997.717057858315
2022-04-01 04:00:00+00:00,309.42,310.13,305.54,314750,309.37,30523493,308.165046,HOLD,11037.311835628167
2022-04-04 04:00:00+00:00,314.97,315.11,309.71,300002,310.09,27879175,313.844466,HOLD,11235.285724477422
2022-04-05 04:00:00+00:00,310.88,314.865,309.87,312604,313.27,26386621,311.672129,HOLD,11089.391453235357
2022-04-06 04:00:00+00:00,299.5,307.0,296.71,548743,305.19,40531063,300.497031,HOLD,10683.455803666977
2022-04-07 04:00:00+00:00,301.37,303.65,296.35,360493,296.66,31781666,300.874521,HOLD,10750.160519369338
2022-04-08 04:00:00+00:00,296.97,301.12,296.28,308600,300.44,27162719,298.198345,HOLD,10593.208247128488
2022-04-11 04:00:00+00:00,285.26,292.61,285.0,502225,291.79,37914248,286.748718,BUY,10175.501177142043
2022-04-12 04:00:00+00:00,282.06,290.739,280.49,435821,289.235,33155984,284.880428,BUY,10061.354070057789
2022-04-13 04:00:00+00:00,287.62,288.58,281.3,290616,282.73,24766513,286.060664,HOLD,10259.684668616681
2022-04-14 04:00:00+00:00,279.83,288.305,279.32,381429,288.09,33291032,282.160265,BUY,9981.807804808448
2022-04-18 04:00:00+00:00,280.52,282.46,278.34,299129,278.91,22906413,280.196623,HOLD,10006.420774773489
2022-04-19 04:00:00+00:00,285.3,286.17,278.41,312039,279.38,25446388,283.947522,HOLD,10176.928015980597
2022-04-20 04:00:00+00:00,286.36,289.7,285.3702,313847,289.4,25839441,286.958676,HOLD,10214.739245202256
2022-04-21 04:00:00+00:00,280.81,293.3,280.06,411097,288.58,32648827,285.119312,HOLD,10016.765356353
2022-04-22 04:00:00+00:00,274.03,283.2,273.38,453557,281.68,33724277,276.48202,HOLD,9774.916173218235
2022-04-25 04:00:00+00:00,280.72,281.11,270.77,507839,273.29,39922603,277.386783,HOLD,10013.554968966257
2022-04-26 04:00:00+00:00,270.22,278.3599,270.0,703115,277.5,50509892,272.655338,HOLD,9639.009773846046
2022-04-27 04:00:00+00:00,283.22,290.97,279.16,823600,282.1,67247883,285.097421,HOLD,10102.732396375832
2022-04-28 04:00:00+00:00,289.63,290.98,281.4562,448002,285.185,37412470,287.230278,HOLD,10331.383320253979
2022-04-29 04:00:00+00:00,277.52,289.88,276.5,473099,288.61,42780164,280.726922,HOLD,9899.407861882
2022-05-02 04:00:00+00:00,284.47,284.94,276.22,501421,277.71,38608322,281.296286,HOLD,10147.321110080618
2022-05-03 04:00:00+00:00,281.78,284.13,280.15,352893,283.96,28640875,282.013495,HOLD,10051.366198187914
2022-05-04 04:00:00+00:00,289.98,290.88,276.73,460204,282.59,36945610,284.858921,HOLD,10343.868160091319
2022-05-05 04:00:00+00:00,277.35,286.35,274.34,593659,285.54,49221289,277.624186,HOLD,9893.343796818152
2022-05-06 04:00:00+00:00,274.73,279.25,271.27,535940,274.805,40904210,274.91433,HOLD,9799.885852892918
2022-05-09 04:00:00+00:00,264.58,272.36,263.32,649442,270.06,53164829,266.179768,BUY,9437.825497610045
2022-05-10 04:00:00+00:00,269.5,273.75,265.07,526749,271.69,43311982,270.063774,HOLD,9613.326674752088
2022-05-11 04:00:00+00:00,260.55,271.36,259.3,633610,265.68,52947438,263.136337,BUY,9294.071484625812
2022-05-12 04:00:00+00:00,255.35,259.88,250.02,715932,257.69,54882896,254.735431,BUY,9108.582435613898
2022-05-13 04:00:00+00:00,261.12,263.04,255.35,451565,257.35,38955892,260.317591,HOLD,9314.403938075195
2022-05-16 04:00:00+00:00,261.5,265.82,255.78,402398,259.955,35864439,260.937993,HOLD,9327.958907041451
2022-05-17 04:00:00+00:00,266.82,268.33,262.46,346099,266.11,29297849,265.613549,HOLD,9517.728472569024
2022-05-18 04:00:00+00:00,254.08,263.6,252.77,414292,263.0,37718946,255.906251,HOLD,9063.280302489835
2022-05-19 04:00:00+00:00,253.14,257.67,251.88,408724,253.9,35668534,254.318379,HOLD,9029.749589783834
2022-05-20 04:00:00+00:00,252.56,258.54,246.44,517643,257.24,43526329,251.822276,HOLD,9009.060426624814
2022-05-23 04:00:00+00:00,260.65,261.5,253.43,386149,255.49,36795742,259.110222,HOLD,9297.638581722194
2022-05-24 04:00:00+00:00,259.62,261.33,253.5,357106,257.89,32173015,258.060953,HOLD,9260.89748162945
2022-05-25 04:00:00+00:00,262.52,264.58,257.125,340326,258.14,31864458,261.12422,HOLD,9364.343297424557
2022-05-26 04:00:00+00:00,265.9,267.11,261.4294,297971,262.27,28892426,265.407471,HOLD,9484.9111792823
2022-05-27 04:00:00+00:00,273.24,273.34,267.56,307007,268.48,31538202,271.97696,HOLD,9746.736106156812
2022-05-31 04:00:00+00:00,271.87,274.77,268.93,363102,272.53,44563966,271.963666,HOLD,9697.866875936365
2022-06-01 04:00:00+00:00,272.42,277.69,270.04,321551,275.195,27816838,273.265034,HOLD,9717.48590996647
2022-06-02 04:00:00+00:00,274.58,274.65,261.6,532533,264.45,47067036,269.46494,HOLD,9794.535207248342
2022-06-03 04:00:00+00:00,270.02,273.45,268.41,303236,270.31,28321751,270.250302,HOLD,9631.875579653279
2022-06-06 04:00:00+00:00,268.75,274.18,267.22,260016,272.06,24556321,270.047199,HOLD,9586.573446529215
2022-06-07 04:00:00+00:00,272.5,273.13,265.94,247049,266.635,25860425,271.099084,HOLD,9720.339587643577
2022-06-08 04:00:00+00:00,270.41,273.0,269.61,234210,271.71,19671039,271.06707,HOLD,9645.787258329174
2022-06-09 04:00:00+00:00,264.79,272.7081,264.63,301847,267.78,29814727,267.919407,HOLD,9445.316401512451
2022-06-10 04:00:00+00:00,252.99,260.58,252.53,457196,260.58,36115215,254.654531,HOLD,9024.39894413926
2022-06-13 04:00:00+00:00,242.26,249.0242,241.53,587065,245.11,52014301,244.21104,BUY,8641.649425697367
2022-06-14 04:00:00+00:00,244.49,245.74,241.51,370361,243.86,32307914,243.873384,HOLD,8721.195690946708
2022-06-15 04:00:00+00:00,251.76,255.3,246.42,410435,248.31,39445767,250.876127,HOLD,8980.523649853749
