t,close,high,low,n,open,volume,vw,Signal,Portfolio
2022-02-04 05:00:00+00:00,3152.79,3224.0,3012.16,593824,3112.13,13116238,3138.13905,HOLD,10000.0
2022-02-07 05:00:00+00:00,3158.71,3253.815,3145.0,271388,3170.4,5431324,3192.196617,HOLD,10000.0
2022-02-08 05:00:00+00:00,3228.27,3235.85,3111.01,200684,3135.01,4040367,3189.78303,HOLD,10000.0
2022-02-09 05:00:00+00:00,3223.79,3276.69,3205.0,192970,3257.47,3644590,3233.107162,HOLD,10000.0
2022-02-10 05:00:00+00:00,3180.07,3214.33,3155.0,184547,3167.0,3695163,3183.331738,HOLD,10000.0
2022-02-11 05:00:00+00:00,3065.87,3180.0,3054.675,212341,3162.6902,4106902,3097.405248,HOLD,10000.0
2022-02-14 05:00:00+00:00,3103.34,3168.9663,3033.0,226400,3035.02,4378662,3109.747178,HOLD,10000.0
2022-02-15 05:00:00+00:00,3130.21,3160.14,3092.75,152640,3152.11,3158884,3127.480433,HOLD,10000.0
2022-02-16 05:00:00+00:00,3162.01,3176.68,3094.69,142448,3115.81,2788112,3144.322222,HOLD,10000.0
2022-02-17 05:00:00+00:00,3093.05,3206.975,3090.0,176534,3162.92,3477765,3131.515132,HOLD,10000.0
2022-02-18 05:00:00+00:00,3052.03,3109.99,3017.86,181370,3109.99,3453803,3060.629717,HOLD,10000.0
2022-02-22 05:00:00+00:00,3003.95,3059.65,2969.71,207600,3009.57,3605643,3009.116111,HOLD,10000.0
2022-02-23 05:00:00+00:00,2897.685,3035.26,2893.02,193210,3033.01,3459456,2937.836086,HOLD,10000.0
2022-02-24 05:00:00+00:00,3027.16,3034.98,2790.0,293527,2796.75,5472178,2944.898226,HOLD,10000.0
2022-02-25 05:00:00+00:00,3075.77,3079.8,2984.27,170401,3011.0,3357605,3050.785121,HOLD,10000.0
2022-02-28 05:00:00+00:00,3071.26,3089.0,3017.0,163662,3048.5,3278238,3059.392249,HOLD,10000.0
2022-03-01 05:00:00+00:00,3022.84,3081.98,2999.54,140284,3054.65,2511510,3034.232188,HOLD,10000.0
2022-03-02 05:00:00+00:00,3041.05,3059.99,2975.0,143145,3016.98,2570989,3030.448175,HOLD,10000.0
2022-03-03 05:00:00+00:00,2957.97,3078.58,2937.12,175604,3070.63,3456614,2984.708151,HOLD,10000.0
2022-03-04 05:00:00+00:00,2912.82,2957.0,2876.14,184309,2943.18,3284239,2908.270946,HOLD,10000.0
2022-03-07 05:00:00+00:00,2749.06,2921.89,2748.33,295199,2908.87,4664263,2792.636956,BUY,10000.0
2022-03-08 05:00:00+00:00,2720.29,2813.99,2671.45,271656,2733.67,4893651,2734.893409,BUY,9895.346045557391
2022-03-09 05:00:00+00:00,2785.58,2805.0,2736.56,242964,2790.0,4464331,2779.298007,HOLD,10132.84540897616
2022-03-10 05:00:00+00:00,2936.35,2973.485,2879.56,452551,2913.7,7107271,2930.95997,HOLD,10681.287421882389
2022-03-11 05:00:00+00:00,2910.49,2993.5,2907.38,258599,2991.49,3683121,2937.721679,HOLD,10587.218903916248
2022-03-14 04:00:00+00:00,2837.06,2949.0,2817.68,246461,2919.62,4002681,2864.340728,HOLD,10320.10941921966
