t,close,high,low,n,open,volume,vw,Signal,Portfolio
2022-01-03 05:00:00+00:00,1199.78,1201.07,1136.04,1162847,1147.75,35894299,1173.115082,,10000.0
2022-01-04 05:00:00+00:00,1149.59,1208.0,1123.05,1051475,1189.55,34003431,1161.030234,,10000.0
2022-01-05 05:00:00+00:00,1088.12,1170.34,1081.0101,811992,1146.65,27320109,1125.505228,HOLD,10000.0
2022-01-06 05:00:00+00:00,1064.7,1088.0,1020.5,880979,1077.0,30546172,1059.905327,HOLD,10000.0
2022-01-07 05:00:00+00:00,1026.96,1080.9299,1010.0,820823,1080.37,28453410,1038.518663,HOLD,10000.0
2022-01-10 05:00:00+00:00,1058.12,1059.1,980.0,971561,1000.0,31233376,1018.466176,HOLD,10000.0
2022-01-11 05:00:00+00:00,1064.4,1075.85,1038.82,644113,1053.67,22519365,1060.454893,HOLD,10000.0
2022-01-12 05:00:00+00:00,1106.22,1114.84,1072.5901,761542,1078.85,28830184,1096.644026,HOLD,10000.0
2022-01-13 05:00:00+00:00,1031.56,1115.6,1026.5391,924355,1109.065,33200275,1067.93742,HOLD,10000.0
2022-01-14 05:00:00+00:00,1049.61,1052.0,1013.3788,708723,1019.88,24801900,1036.374239,HOLD,10000.0
2022-01-18 05:00:00+00:00,1030.51,1070.7899,1016.06,662923,1026.605,23116064,1042.1079,HOLD,10000.0
2022-01-19 05:00:00+00:00,995.65,1054.6699,995.0,828700,1041.705,25552678,1015.19885,HOLD,10000.0
2022-01-20 05:00:00+00:00,996.27,1041.66,994.0,713221,1009.73,24019871,1018.993686,HOLD,10000.0
2022-01-21 05:00:00+00:00,943.9,1004.55,940.5,1140190,996.34,35030961,963.786256,HOLD,10000.0
2022-01-24 05:00:00+00:00,930.0,933.5131,851.47,1596995,904.76,52061130,888.924059,HOLD,10000.0
2022-01-25 05:00:00+00:00,918.4,951.26,903.21,818785,914.2,29640559,923.187867,HOLD,10000.0
2022-01-26 05:00:00+00:00,937.41,987.69,906.0,1099447,952.43,35537357,948.53754,HOLD,10000.0
2022-01-27 05:00:00+00:00,829.1,935.39,829.0,1862681,933.36,49769480,866.04142,HOLD,10000.0
2022-01-28 05:00:00+00:00,846.35,857.5,792.01,1439109,831.56,45605709,831.307133,HOLD,10000.0
2022-01-31 05:00:00+00:00,936.72,937.99,862.05,1019009,872.71,36054753,915.421412,HOLD,10000.0
2022-02-01 05:00:00+00:00,931.25,943.7,905.0,756027,935.21,24990159,927.101414,HOLD,10000.0
2022-02-02 05:00:00+00:00,905.66,931.5,889.41,716352,928.18,23046614,909.123268,HOLD,10000.0
2022-02-03 05:00:00+00:00,891.14,937.0,880.52,767221,882.0,26991037,909.369729,HOLD,10000.0
2022-02-04 05:00:00+00:00,923.32,936.5,881.17,681221,897.22,24980935,914.995272,HOLD,10000.0
2022-02-07 05:00:00+00:00,907.34,947.77,902.7089,640687,923.79,20730953,921.726662,HOLD,10000.0
2022-02-08 05:00:00+00:00,922.0,926.2899,894.8,513027,905.53,17439099,915.503997,HOLD,10000.0
2022-02-09 05:00:00+00:00,932.0,946.2699,920.0,506988,935.0,17856443,932.761562,HOLD,10000.0
2022-02-10 05:00:00+00:00,904.55,943.81,896.7,689690,908.37,22647185,920.555739,HOLD,10000.0
2022-02-11 05:00:00+00:00,860.0,915.96,850.7,946249,909.63,27045042,878.216813,HOLD,10000.0
2022-02-14 05:00:00+00:00,875.76,898.8799,853.15,696444,861.57,23132169,876.118814,HOLD,10000.0
2022-02-15 05:00:00+00:00,922.43,923.0,893.3774,595381,900.0,19821472,915.025933,HOLD,10000.0
2022-02-16 05:00:00+00:00,923.39,926.4299,901.21,475461,914.05,17753076,914.346003,HOLD,10000.0
2022-02-17 05:00:00+00:00,876.35,918.4999,874.1,639883,913.26,18934304,889.760709,HOLD,10000.0
2022-02-18 05:00:00+00:00,856.98,886.87,837.61,747330,886.0,23537693,856.239086,HOLD,10000.0
2022-02-22 05:00:00+00:00,821.53,856.7338,801.1001,927744,834.13,29206762,823.444987,BUY,10000.0
2022-02-23 05:00:00+00:00,764.04,835.2997,760.56,1234437,830.43,32401059,788.358101,BUY,9300.208148211264
2022-02-24 05:00:00+00:00,800.77,802.48,700.0,1313573,700.39,46731804,758.229702,HOLD,9747.300768079072
2022-02-25 05:00:00+00:00,809.87,819.5,782.4005,749573,809.23,25868608,801.86865,HOLD,9858.06969921975
2022-02-28 05:00:00+00:00,870.43,876.86,814.7075,875788,815.01,34573104,857.554879,HOLD,10595.230849755942
2022-03-01 05:00:00+00:00,864.37,889.88,853.78,673282,869.68,25524100,867.715567,HOLD,10521.466045062263
2022-03-02 05:00:00+00:00,879.89,886.48,844.2721,692962,872.13,25410504,866.505267,HOLD,10710.381848502186
2022-03-03 05:00:00+00:00,839.29,886.439,832.6001,646507,878.77,21370587,853.683737,HOLD,10216.182001874551
2022-03-04 05:00:00+00:00,838.29,855.65,825.1609,596429,849.1,23109623,839.896716,HOLD,10204.009591859092
2022-03-07 05:00:00+00:00,804.58,866.14,804.57,699901,856.3,25059944,829.763611,HOLD,9793.677650237973
2022-03-08 05:00:00+00:00,824.4,849.99,782.17,737840,795.53,27487604,822.172323,HOLD,10034.934816744368
2022-03-09 05:00:00+00:00,858.97,860.56,832.01,546175,839.48,20498396,850.876165,HOLD,10455.735030978785
2022-03-10 05:00:00+00:00,838.3,854.45,810.3601,571420,851.45,20063332,830.582603,HOLD,10204.131315959246
2022-03-11 05:00:00+00:00,795.35,843.802,793.77,745310,840.197,22925892,807.782588,HOLD,9681.326305795284
2022-03-14 04:00:00+00:00,766.37,800.7,756.04,783856,780.61,23877641,773.629565,HOLD,9328.569863547284
2022-03-15 04:00:00+00:00,801.89,805.57,756.57,620160,775.27,23050106,789.39242,HOLD,9760.933867296386
2022-03-16 04:00:00+00:00,840.23,842.0,802.2601,751557,808.0,29157682,828.44182,HOLD,10227.624067289084
2022-03-17 04:00:00+00:00,871.6,875.0,825.7178,608932,830.99,23314040,858.260284,HOLD,10609.472569474032
2022-03-18 04:00:00+00:00,905.39,907.85,867.39,699105,874.49,39999104,897.603371,HOLD,11020.778303896388
2022-03-21 04:00:00+00:00,921.16,942.85,907.09,746493,914.98,28061022,922.488732,SELL,11212.737209840176
2022-03-22 04:00:00+00:00,993.98,997.86,921.75,940961,930.0,36121584,965.010221,SELL,11212.737209840176
2022-03-23 04:00:00+00:00,999.11,1040.7,976.4,1124239,979.94,40787949,1009.381433,SELL,11212.737209840176
2022-03-24 04:00:00+00:00,1013.92,1024.49,988.8,684000,1009.73,23756993,1009.061934,SELL,11212.737209840176
2022-03-25 04:00:00+00:00,1010.64,1021.7999,997.3201,591085,1008.0,21175103,1007.608009,HOLD,11212.737209840176
2022-03-28 04:00:00+00:00,1091.84,1097.8799,1053.6,1109118,1065.1,35642519,1081.114336,SELL,11212.737209840176
2022-03-29 04:00:00+00:00,1099.57,1114.77,1073.11,831063,1107.99,25381550,1096.391355,HOLD,11212.737209840176
2022-03-30 04:00:00+00:00,1093.99,1113.95,1084.0,597501,1091.17,20431173,1098.754066,HOLD,11212.737209840176
2022-03-31 04:00:00+00:00,1077.6,1103.1399,1076.641,509543,1094.57,17280959,1088.266474,HOLD,11212.737209840176
2022-04-01 04:00:00+00:00,1084.59,1094.75,1066.64,546383,1081.15,18520119,1081.437277,HOLD,11212.737209840176
2022-04-04 04:00:00+00:00,1145.45,1149.91,1072.53,859375,1089.38,28012251,1123.290545,HOLD,11212.737209840176
2022-04-05 04:00:00+00:00,1091.26,1152.87,1087.3,859309,1136.3,27191070,1113.655916,HOLD,11212.737209840176
2022-04-06 04:00:00+00:00,1045.76,1079.0,1027.7,963154,1073.47,29995068,1047.330834,HOLD,11212.737209840176
2022-04-07 04:00:00+00:00,1057.26,1076.59,1021.5401,771755,1052.39,26482353,1051.033263,HOLD,11212.737209840176
2022-04-08 04:00:00+00:00,1025.49,1048.44,1022.435,578908,1043.32,18763593,1033.858824,HOLD,11212.737209840176
2022-04-11 04:00:00+00:00,975.93,1008.4681,974.64,756595,980.4,19990460,987.954049,HOLD,11212.737209840176
2022-04-12 04:00:00+00:00,986.95,1021.1921,976.6001,615652,997.64,22602533,997.315971,HOLD,11212.737209840176
2022-04-13 04:00:00+00:00,1022.37,1026.24,973.097,521652,981.075,18801401,1006.042127,HOLD,11212.737209840176
2022-04-14 04:00:00+00:00,985.0,1012.7099,982.19,580186,999.29,20485645,990.874217,HOLD,11212.737209840176
2022-04-18 04:00:00+00:00,1004.29,1014.92,973.41,544523,989.03,17544519,997.328317,HOLD,11212.737209840176
2022-04-19 04:00:00+00:00,1028.15,1034.94,995.325,527909,1005.06,17146925,1021.80023,HOLD,11212.737209840176
2022-04-20 04:00:00+00:00,977.2,1034.0,975.2501,864911,1030.0,24210107,993.176448,HOLD,11212.737209840176
2022-04-21 04:00:00+00:00,1008.78,1092.22,996.415,1119159,1074.73,35784091,1045.323642,HOLD,11212.737209840176
2022-04-22 04:00:00+00:00,1005.05,1034.85,994.0001,687821,1014.91,23771812,1013.655901,HOLD,11212.737209840176
2022-04-25 04:00:00+00:00,998.02,1008.62,975.3,719908,978.97,23359892,993.294296,HOLD,11212.737209840176
2022-04-26 04:00:00+00:00,876.42,1000.0,875.0,1570851,995.43,46317045,910.842956,BUY,11212.737209840176
2022-04-27 04:00:00+00:00,881.51,918.0,877.36,913173,898.58,25911007,897.360511,BUY,11277.857622881967
2022-04-28 04:00:00+00:00,877.51,900.0,821.7,1367548,899.98,42238147,859.112153,HOLD,11226.68244563891
2022-04-29 04:00:00+00:00,870.76,934.3999,870.0,887200,902.25,30278926,900.415732,HOLD,11140.32433404125
2022-05-02 04:00:00+00:00,902.94,906.3599,848.03,786413,860.77,25994801,878.232342,HOLD,11552.02863496165
2022-05-03 04:00:00+00:00,909.25,924.08,888.59,607316,903.18,21733006,908.690813,HOLD,11632.757477062574
2022-05-04 04:00:00+00:00,952.62,955.5,885.28,728809,903.94,28143234,919.750085,HOLD,12187.624336320428
2022-05-05 04:00:00+00:00,873.28,945.6,857.7,1016723,939.21,31821412,889.021078,HOLD,11172.564695704375
2022-05-06 04:00:00+00:00,865.65,888.0,843.105,787098,887.0,24805733,868.258095,HOLD,11074.948045113244
2022-05-09 04:00:00+00:00,787.11,845.63,781.15,1135045,836.45,31114166,808.958534,BUY,10070.123439945804
2022-05-10 04:00:00+00:00,800.04,825.36,774.25,894446,819.0,28782115,800.546852,HOLD,10235.547200383988
