Date,close,high,low,open,volume
2024-07-03,508.21978759765625,509.5352904864763,504.29323014715453,504.6420418785985,6005600
2024-07-05,538.0675659179688,539.0243118788674,509.85420477507415,509.85420477507415,21354100
2024-07-08,527.5137329101562,540.957689320249,524.8528611647961,540.4992371464056,14917500
2024-07-09,528.1914672851562,535.6459236229929,526.3876460280692,531.9286710631172,8753200
2024-07-10,532.865478515625,537.0411834020582,526.5570613576638,528.9787621638455,10983300
2024-07-11,510.95050048828125,533.6328451420362,506.635258930836,529.0784322808137,16458300
2024-07-12,497.16766357421875,506.3562026924546,492.5435128096114,496.0614659090168,19750500
2024-07-15,494.4668884277344,504.9509786314799,491.6864006139004,496.92846092249255,12539200
2024-07-16,488.11865234375,502.2303365025694,484.1323019174205,499.78868470106653,14075800
2024-07-17,460.41351318359375,477.53491191999797,457.55331152845895,477.53491191999797,28076600
2024-07-18,474.22625732421875,477.6046737708841,462.954853008231,473.37915170689683,19267200
2024-07-19,475.1629943847656,485.0491260136994,474.08666278133495,474.43547451232524,15149400
2024-07-22,485.73675537109375,490.3808569041175,482.2486990208922,484.9195462983929,12023100
2024-07-23,487.0223693847656,493.53008483154133,486.0556782504006,488.16843897785293,9455500
2024-07-24,459.6959533691406,474.6746638479208,459.008305488975,470.6982890383508,17649700
2024-07-25,451.86279296875,461.96817554306887,441.13950052747947,461.6791870331621,18240500
2024-07-26,464.11083984375,468.16692810735697,457.8522711701862,462.61595850057296,14222400
2024-07-29,464.1208190917969,472.3426670825258,463.4331711904061,468.2766029126612,11339600
2024-07-30,461.6094055175781,471.11685958576277,455.14156182899654,465.4064017799669,11390400
2024-07-31,473.2096252441406,474.87393973698823,465.1572116941013,469.4126293343028,24285800
2024-08-01,496.0414733886719,525.37103744849,490.4207354671662,519.2221093462982,43083100
2024-08-02,486.4742736816406,499.4398573571871,474.5251679707821,487.33132439808213,24044700
2024-08-05,474.10662841796875,481.8301822938768,449.26167651325267,449.80981793960683,21396200
2024-08-06,492.4039611816406,500.8450593281317,477.0166462812122,477.3654580221627,20955000
2024-08-07,487.2515869140625,508.4091206403475,485.19858862879056,501.41308715206713,20105300
2024-08-08,507.89093017578125,508.2197906932699,493.0318057986474,495.80231803767714,16156800
2024-08-09,516.003173828125,516.5712360513268,503.9743543668049,505.97747473337193,13696600
2024-08-12,514.189453125,516.2523970320111,507.362821069691,515.0963211984078,9767400
2024-08-13,526.7363891601562,529.6863103591749,516.3818902058347,518.2355285467402,13743800
2024-08-14,524.9624633789062,532.1777474509978,521.3448457351398,526.2580150181869,11444200
2024-08-15,535.4963989257812,537.9280749520336,524.9026685286987,529.9752650350221,13482100
2024-08-16,525.6202392578125,531.8389364369774,522.8696476223628,530.0849932744787,14776700
2024-08-19,527.4739379882812,529.8457606228551,520.9761670777149,525.0721277005686,9879700
2024-08-20,524.9326171875,529.2777857666691,524.0855419773998,526.5470843874483,7944400
2024-08-21,533.3338012695312,537.5593838516315,525.1319046628375,525.3511855681114,13423300
2024-08-22,530.1148071289062,542.3728218044048,526.7862387815086,535.1675132966868,15708300
2024-08-23,526.1982421875,538.0277318947694,523.2682722695172,535.087786368687,11323900
2024-08-26,519.341796875,526.1983253748231,513.192867566448,525.7996659490868,9584000
2024-08-27,517.32861328125,522.2218925970005,513.5515680694119,517.2090276320597,6282700
2024-08-28,515.0166015625,519.3118919559577,510.7013599511842,515.9035183539326,9106100
2024-08-29,516.4515991210938,525.4009971702922,513.9202885037621,517.2787838642175,8317400
2024-08-30,519.5310668945312,521.7534377247654,513.4419314026487,519.5709084999014,9157500
2024-09-03,510.013671875,523.6967999428734,506.88437226183885,517.8667869054548,12459100
2024-09-04,510.99029541015625,514.8271940094899,502.3498983027712,504.34307342132036,8335200
2024-09-05,515.0962524414062,519.8499947589663,509.40574576002206,509.9738079913622,8640900
2024-09-06,498.5628662109375,522.7899386747894,496.54977021380114,520.0991399974671,14744500
2024-09-09,503.06744384765625,509.5851046042932,500.366669657444,504.4327639412016,11047800
2024-09-10,503.06744384765625,512.4253852381723,498.32367732108537,506.42593906484467,9899000
2024-09-11,510.0834045410156,511.3690110270433,493.9088076820539,505.27987554927915,10782500
2024-09-12,523.806396484375,524.9126549028794,513.4618127596613,515.285585023477,11993300
2024-09-13,522.829833984375,525.7797554722289,515.3454506297038,518.5644702609947,10321400
2024-09-16,531.96728515625,532.7852130316696,516.1263711491835,523.2487487578231,9527600
2024-09-17,534.999755859375,540.7654956540217,529.2639105539961,536.2765732411165,11690800
2024-09-18,536.6257934570312,542.8604084454137,532.5857751215418,535.7479547958741,10323500
2024-09-19,557.7236328125,560.686353189847,545.1746449788143,548.6460587400361,15647000
2024-09-20,559.9681396484375,563.1104098679178,554.9305830568934,558.6214872028946,22066800
2024-09-23,563.0205688476562,572.5670177481582,561.0254922344247,568.0980656176895,12830700
2024-09-24,561.9432983398438,566.3524008193639,552.8257831664986,565.2850274737618,12993000
2024-09-25,566.9110107421875,575.4599216096932,562.3322829789138,562.6614876784074,16543400
2024-09-26,566.4421997070312,575.9786638345628,560.9656630584283,574.3127309639464,14400800
2024-09-27,565.9633178710938,569.4347925727498,563.1203580570185,568.6965630840433,9398400
2024-09-30,571.0308227539062,573.2652987881467,563.409615584696,566.3025009877178,12792300
2024-10-01,575.0508422851562,581.6046758543246,568.6965285417654,576.5571347751577,15259300
2024-10-02,571.39990234375,574.5820519068944,567.9384737210793,573.4448436501182,6524700
2024-10-03,581.3353881835938,581.9239016583299,567.3299121210531,568.7464602798791,11581000
2024-10-04,594.4730224609375,595.3807555940912,579.9987308779406,582.2930569666543,14169500
2024-10-07,583.3405151367188,601.4657702066983,582.6022856022474,596.747372331818,12014200
2024-10-08,591.4305419921875,592.0988756559179,584.5275325974134,588.2384070139852,7857400
2024-10-09,589.056396484375,592.9268502562229,580.1782805790215,592.5278105516344,9529700
2024-10-10,582.392822265625,588.7770310687573,581.0860494842024,586.123605891141,7740400
2024-10-11,588.497802734375,589.7547108844743,581.275634319108,583.3904108975593,8587100
2024-10-14,588.966552734375,598.6227162819703,588.5077240774983,592.7571861404907,8252000
2024-10-15,584.8267822265625,589.156064231629,578.7118677482224,588.7071598322343,9564200
2024-10-16,575.3700561523438,580.6470723772935,572.6169017694289,579.968753684265,11268400
2024-10-17,575.509765625,583.5299516595073,573.7840438446354,581.8940351157374,8701200
2024-10-18,575.0508422851562,582.5323791150422,573.8338748522481,579.669449225598,7694300
2024-10-21,573.744140625,575.8190374770412,567.7090456789956,574.6120550187865,8171900
2024-10-22,580.5772705078125,582.093548193358,570.7116021970829,572.8762432408589,8544500
2024-10-23,562.3023681640625,583.5599069546555,561.1152951487072,578.542260068393,14248400
2024-10-24,566.3823852539062,567.4796531462903,560.1377850921884,565.7339609361895,7184700
2024-10-25,571.8388671875,579.859053715836,570.3126042657578,572.5171859688598,11337900
2024-10-28,576.7366943359375,582.3129600056923,572.7066616790459,580.5672680485018,10925100
2024-10-29,591.819580078125,592.2085737611511,573.9835895525686,578.7218967035824,13019100
2024-10-30,590.3431396484375,599.720023798207,587.9291140679284,599.5005337173036,26864900
2024-10-31,566.1827392578125,588.4477988204719,561.6239824528758,583.5598373671974,26838400
2024-11-01,565.7638549804688,572.2578397384902,561.1752026715145,566.2127594396933,15303200
