Date,open,high,low,close,volume,Signal,Portfolio
2022-01-03,335.3500061035156,338.0,329.7799987792969,334.75,28865100,,10000.0
2022-01-04,334.8299865722656,335.20001220703125,326.1199951171875,329.010009765625,32674300,,10000.0
2022-01-05,325.8599853515625,326.07000732421875,315.9800109863281,316.3800048828125,40054300,HOLD,10000.0
2022-01-06,313.1499938964844,318.70001220703125,311.489990234375,313.8800048828125,39646100,HOLD,10000.0
2022-01-07,314.1499938964844,316.5,310.0899963378906,314.0400085449219,32720000,HOLD,10000.0
2022-01-10,309.489990234375,314.7200012207031,304.69000244140625,314.2699890136719,44289500,HOLD,10000.0
2022-01-11,313.3800048828125,316.6099853515625,309.8900146484375,314.9800109863281,29386800,HOLD,10000.0
2022-01-12,319.6700134277344,323.4100036621094,317.0799865722656,318.2699890136719,34372200,HOLD,10000.0
2022-01-13,320.4700012207031,320.8800048828125,304.0,304.79998779296875,45366000,HOLD,10000.0
2022-01-14,304.25,310.82000732421875,303.75,310.20001220703125,39846400,HOLD,10000.0
2022-01-18,304.07000732421875,309.79998779296875,301.739990234375,302.6499938964844,42333200,HOLD,10000.0
2022-01-19,306.2900085449219,313.9100036621094,302.70001220703125,303.3299865722656,45933900,HOLD,10000.0
2022-01-20,309.07000732421875,311.6499938964844,301.1400146484375,301.6000061035156,35380700,HOLD,10000.0
2022-01-21,302.69000244140625,304.1099853515625,295.6099853515625,296.0299987792969,57984400,HOLD,10000.0
2022-01-24,292.20001220703125,297.1099853515625,276.04998779296875,296.3699951171875,85731500,HOLD,10000.0
2022-01-25,291.5199890136719,294.989990234375,285.1700134277344,288.489990234375,72848600,HOLD,10000.0
2022-01-26,307.989990234375,308.5,293.0299987792969,296.7099914550781,90428900,HOLD,10000.0
2022-01-27,302.6600036621094,307.29998779296875,297.92999267578125,299.8399963378906,53481300,HOLD,10000.0
2022-01-28,300.2300109863281,308.4800109863281,294.45001220703125,308.260009765625,49743700,HOLD,10000.0
2022-01-31,308.95001220703125,312.3800048828125,306.3699951171875,310.9800109863281,46444500,HOLD,10000.0
2022-02-01,310.4100036621094,310.6300048828125,305.1300048828125,308.760009765625,40950400,HOLD,10000.0
2022-02-02,309.6300048828125,315.1199951171875,308.8800048828125,313.4599914550781,36636000,HOLD,10000.0
2022-02-03,309.489990234375,311.2300109863281,299.9599914550781,301.25,43730000,HOLD,10000.0
2022-02-04,300.2099914550781,308.79998779296875,299.9700012207031,305.94000244140625,35096500,HOLD,10000.0
2022-02-07,306.1700134277344,307.8399963378906,299.8999938964844,300.95001220703125,28533300,HOLD,10000.0
2022-02-08,301.25,305.55999755859375,299.95001220703125,304.55999755859375,32421200,HOLD,10000.0
2022-02-09,309.8699951171875,311.92999267578125,307.3900146484375,311.2099914550781,31284700,HOLD,10000.0
2022-02-10,304.0400085449219,309.1199951171875,300.70001220703125,302.3800048828125,45386200,HOLD,10000.0
2022-02-11,303.19000244140625,304.2900085449219,294.2200012207031,295.0400085449219,39175600,HOLD,10000.0
2022-02-14,293.7699890136719,296.760009765625,291.3500061035156,295.0,36359500,HOLD,10000.0
2022-02-15,300.010009765625,300.79998779296875,297.0199890136719,300.4700012207031,27058300,HOLD,10000.0
2022-02-16,298.3699951171875,300.8699951171875,293.67999267578125,299.5,29982100,HOLD,10000.0
2022-02-17,296.3599853515625,296.79998779296875,290.0,290.7300109863281,32461600,HOLD,10000.0
2022-02-18,293.04998779296875,293.8599853515625,286.30999755859375,287.92999267578125,34264000,HOLD,10000.0
2022-02-22,285.0,291.5400085449219,284.5,287.7200012207031,41736100,HOLD,10000.0
2022-02-23,290.17999267578125,291.70001220703125,280.1000061035156,280.2699890136719,37811200,HOLD,10000.0
2022-02-24,272.510009765625,295.1600036621094,271.5199890136719,294.5899963378906,56989700,HOLD,10000.0
2022-02-25,295.1400146484375,297.6300048828125,291.6499938964844,297.30999755859375,32546700,HOLD,10000.0
2022-02-28,294.30999755859375,299.1400146484375,293.0,298.7900085449219,34627500,HOLD,10000.0
2022-03-01,296.3999938964844,299.9700012207031,292.1499938964844,294.95001220703125,31217800,HOLD,10000.0
2022-03-02,295.3599853515625,301.4700012207031,293.70001220703125,300.19000244140625,31873000,HOLD,10000.0
2022-03-03,302.8900146484375,303.1300048828125,294.04998779296875,295.9200134277344,27314500,HOLD,10000.0
2022-03-04,294.2900085449219,295.6600036621094,287.1700134277344,289.8599853515625,32356500,HOLD,10000.0
2022-03-07,288.5299987792969,289.69000244140625,278.5299987792969,278.9100036621094,43157200,HOLD,10000.0
2022-03-08,277.79998779296875,283.9599914550781,270.0,275.8500061035156,48159500,HOLD,10000.0
2022-03-09,283.44000244140625,289.6000061035156,280.7799987792969,288.5,35204500,HOLD,10000.0
2022-03-10,283.0199890136719,286.6000061035156,280.5799865722656,285.5899963378906,30628000,HOLD,10000.0
